runid,topic,ERR-IA@5,ERR-IA@10,ERR-IA@20,nERR-IA@5,nERR-IA@10,nERR-IA@20,alpha-DCG@5,alpha-DCG@10,alpha-DCG@20,alpha-nDCG@5,alpha-nDCG@10,alpha-nDCG@20,NRBP,nNRBP,MAP-IA,P-IA@5,P-IA@10,P-IA@20,strec@5,strec@10,strec@20
indri,36,0.121029,0.120239,0.144133,0.190024,0.188084,0.225445,0.164639,0.162441,0.229622,0.245464,0.240611,0.340065,0.093979,0.150366,0.010275,0.100000,0.050000,0.075000,0.500000,0.500000,0.500000
indri,37,0.090772,0.090179,0.090168,0.143885,0.140045,0.139310,0.103875,0.102489,0.102453,0.153692,0.145677,0.143564,0.093750,0.154789,0.004630,0.050000,0.025000,0.012500,0.250000,0.250000,0.250000
indri,38,0.290469,0.313265,0.331106,0.372816,0.399107,0.421781,0.304439,0.353555,0.408229,0.373668,0.427978,0.493989,0.268219,0.352727,0.016095,0.133333,0.133333,0.150000,0.666667,0.666667,0.666667
indri,39,0.332829,0.333878,0.342232,0.421860,0.412906,0.420914,0.341031,0.343247,0.368618,0.421489,0.403168,0.425960,0.340246,0.439027,0.031631,0.200000,0.125000,0.100000,0.500000,0.500000,0.500000
indri,40,0.060514,0.073479,0.073471,0.086455,0.101689,0.101334,0.094541,0.125879,0.125836,0.130917,0.163384,0.161843,0.031738,0.046467,0.012006,0.066667,0.066667,0.033333,0.333333,0.333333,0.333333
indri,41,0.060514,0.087817,0.105843,0.086455,0.121531,0.145800,0.094541,0.154285,0.214540,0.130917,0.200253,0.274845,0.033783,0.049460,0.026012,0.066667,0.133333,0.133333,0.333333,0.333333,0.666667
indri,42,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
indri,43,0.601362,0.601069,0.601467,0.777886,0.768090,0.767034,0.563580,0.565104,0.566281,0.719381,0.703396,0.700619,0.615352,0.802651,0.187560,0.250000,0.175000,0.100000,0.750000,0.750000,0.750000
indri,44,0.400000,0.422951,0.423393,0.428386,0.448073,0.447280,0.400000,0.444245,0.445592,0.431418,0.467957,0.465281,0.404452,0.435336,0.165407,0.400000,0.280000,0.220000,0.400000,0.600000,0.600000
indri,45,0.580938,0.597813,0.600957,0.797784,0.816529,0.820743,0.571977,0.606084,0.615522,0.756787,0.793817,0.805972,0.577539,0.815349,0.049387,0.333333,0.300000,0.266667,0.666667,0.666667,0.666667
indri,46,0.266263,0.272040,0.300239,0.534413,0.503022,0.548249,0.261979,0.275563,0.369956,0.469909,0.425318,0.553428,0.258367,0.553654,0.044419,0.133333,0.100000,0.166667,0.333333,0.333333,0.666667
indri,47,0.478064,0.487996,0.500399,0.478064,0.487996,0.500399,0.593357,0.612135,0.649975,0.593357,0.612135,0.649975,0.441463,0.441463,0.099998,0.500000,0.500000,0.475000,1.000000,1.000000,1.000000
indri,48,0.000000,0.074648,0.074639,0.000000,0.123180,0.122796,0.000000,0.151914,0.151862,0.000000,0.224316,0.222508,0.012177,0.022175,0.029434,0.000000,0.100000,0.050000,0.000000,0.500000,0.500000
indri,49,0.099244,0.118027,0.118013,0.299270,0.316915,0.306031,0.148057,0.185179,0.185115,0.381251,0.387880,0.357282,0.064014,0.216877,0.057381,0.120000,0.120000,0.060000,0.400000,0.400000,0.400000
indri,50,0.706001,0.701393,0.701310,0.953678,0.919655,0.915523,0.726957,0.717253,0.717007,0.935563,0.869825,0.858985,0.687500,0.962500,0.039595,0.400000,0.200000,0.100000,1.000000,1.000000,1.000000
indri,51,0.470197,0.481706,0.488095,0.540898,0.547834,0.554353,0.510528,0.532051,0.555407,0.572325,0.582789,0.605989,0.439852,0.512893,0.044195,0.320000,0.260000,0.180000,1.000000,1.000000,1.000000
indri,52,0.302572,0.331969,0.334662,0.660793,0.672385,0.659059,0.288768,0.354393,0.361820,0.574515,0.608620,0.576865,0.315216,0.727090,0.030710,0.133333,0.133333,0.075000,0.333333,0.500000,0.500000
indri,53,0.060514,0.070139,0.070131,0.104712,0.113640,0.112005,0.082319,0.105670,0.105634,0.133155,0.150367,0.144552,0.047241,0.085893,0.004005,0.050000,0.050000,0.025000,0.250000,0.250000,0.250000
indri,54,0.304085,0.327731,0.327693,0.434438,0.459790,0.459586,0.308421,0.362196,0.362072,0.427089,0.484151,0.483558,0.294739,0.431984,0.007557,0.166667,0.150000,0.075000,0.500000,0.666667,0.666667
indri,55,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000087,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
indri,56,0.853253,0.862714,0.867915,0.853253,0.862714,0.867918,0.826121,0.844024,0.863205,0.826121,0.844024,0.863210,0.858400,0.858400,0.055898,0.400000,0.250000,0.150000,1.000000,1.000000,1.000000
indri,57,0.227685,0.255001,0.255207,0.243232,0.270757,0.270863,0.231486,0.288652,0.289239,0.250906,0.308604,0.308856,0.221674,0.235892,0.031440,0.200000,0.200000,0.212500,0.250000,0.500000,0.500000
indri,58,0.370651,0.415249,0.415542,0.654380,0.692136,0.684331,0.372811,0.466433,0.467247,0.598082,0.672023,0.651802,0.367061,0.683889,0.039239,0.320000,0.320000,0.190000,0.400000,0.800000,0.800000
indri,59,0.363086,0.360717,0.383216,0.457579,0.444947,0.470343,0.329277,0.324882,0.404225,0.402996,0.380294,0.466350,0.375011,0.483226,0.027303,0.100000,0.050000,0.062500,0.500000,0.500000,0.750000
indri,60,0.238023,0.280241,0.298590,0.477733,0.518186,0.544235,0.264758,0.346529,0.403399,0.474895,0.534852,0.599783,0.228905,0.490527,0.050457,0.166667,0.183333,0.166667,0.500000,0.833333,0.833333
indri,61,0.080686,0.183937,0.197752,0.103560,0.230654,0.247294,0.109759,0.335748,0.386483,0.134718,0.393541,0.449471,0.072057,0.094574,0.033096,0.066667,0.200000,0.200000,0.333333,1.000000,1.000000
indri,62,0.323752,0.356050,0.356086,0.421260,0.452741,0.449928,0.323019,0.395932,0.396025,0.404985,0.473674,0.465128,0.324870,0.429284,0.117634,0.266667,0.333333,0.316667,0.333333,0.666667,0.666667
indri,63,0.394856,0.405368,0.405320,0.590498,0.582269,0.579622,0.423765,0.451048,0.450893,0.586852,0.578474,0.571412,0.390060,0.606761,0.034437,0.250000,0.200000,0.100000,0.750000,0.750000,0.750000
indri,64,0.528896,0.560682,0.569447,0.617014,0.643464,0.652266,0.523449,0.594466,0.627365,0.597845,0.656588,0.689059,0.523925,0.617314,0.038140,0.320000,0.360000,0.240000,0.600000,0.800000,1.000000
indri,65,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
indri,66,0.484115,0.505003,0.504943,0.487805,0.507573,0.507115,0.439036,0.495783,0.495613,0.444287,0.498813,0.497455,0.500488,0.502357,0.040690,0.133333,0.133333,0.066667,0.666667,0.666667,0.666667
indri,67,0.847201,0.841672,0.841572,0.861981,0.851940,0.851306,0.797055,0.786415,0.786144,0.815095,0.795160,0.793413,0.875000,0.887526,0.084831,0.333333,0.166667,0.083333,1.000000,1.000000,1.000000
indri,68,0.121029,0.120239,0.141072,0.180995,0.172851,0.202201,0.145035,0.143099,0.213791,0.200852,0.183872,0.272527,0.117216,0.182342,0.010841,0.100000,0.050000,0.062500,0.250000,0.250000,0.500000
indri,69,0.399395,0.405806,0.411139,0.477223,0.478175,0.482455,0.422562,0.437419,0.453426,0.495106,0.497646,0.509471,0.413125,0.500178,0.079615,0.200000,0.120000,0.100000,0.800000,0.800000,0.800000
indri,70,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
indri,71,0.226929,0.225448,0.225421,0.285987,0.276809,0.275885,0.216576,0.213685,0.213612,0.265064,0.248032,0.245625,0.234375,0.301725,0.008197,0.100000,0.050000,0.025000,0.250000,0.250000,0.250000
indri,72,0.000000,0.000000,0.021859,0.000000,0.000000,0.040484,0.000000,0.000000,0.060395,0.000000,0.000000,0.093366,0.000244,0.000524,0.019120,0.000000,0.000000,0.016667,0.000000,0.000000,0.333333
indri,73,0.492057,0.499312,0.524481,0.620114,0.613962,0.642292,0.496958,0.516793,0.592420,0.608217,0.601952,0.681871,0.484669,0.623969,0.097091,0.350000,0.275000,0.225000,0.750000,0.750000,1.000000
indri,74,0.398386,0.414967,0.415388,0.511327,0.520810,0.520436,0.422163,0.461987,0.463484,0.518161,0.542256,0.541406,0.384278,0.504491,0.032917,0.266667,0.233333,0.133333,0.666667,0.666667,0.666667
indri,75,0.934947,0.938391,0.941636,0.934947,0.938391,0.941636,0.933677,0.944244,0.954350,0.933677,0.944244,0.954350,0.923393,0.923393,0.171114,0.700000,0.550000,0.450000,1.000000,1.000000,1.000000
